shift_log_id,machine_id,shift_start,shift_type,planned_time_min,operating_time_min,downtime_min,downtime_reason,total_units,good_units,defective_units
SFT_00053,MCH_L2_03,2023-01-18 16:00:00,Shift C (Night),480,480,0,None,845,832,13
SFT_00054,MCH_L3_01,2023-01-19 00:00:00,Shift A (Morning),480,480,0,None,868,829,39
SFT_00055,MCH_L1_04,2023-01-19 08:00:00,Shift B (Evening),480,480,0,None,922,891,31
SFT_00056,MCH_L3_04,2023-01-19 16:00:00,Shift C (Night),480,480,0,None,899,862,37
SFT_00057,MCH_L1_03,2023-01-20 00:00:00,Shift A (Morning),480,480,0,None,913,894,19
SFT_00058,MCH_L1_02,2023-01-20 08:00:00,Shift B (Evening),480,446,34,Calibration Lag,830,793,37
SFT_00059,MCH_L2_02,2023-01-20 16:00:00,Shift C (Night),480,480,0,None,888,845,43
SFT_00060,MCH_L1_02,2023-01-21 00:00:00,Shift A (Morning),480,455,25,Calibration Lag,875,852,23
SFT_00061,MCH_L3_02,2023-01-21 08:00:00,Shift B (Evening),480,480,0,None,917,904,13
SFT_00062,MCH_L3_02,2023-01-21 16:00:00,Shift C (Night),480,480,0,None,866,846,20
SFT_00063,MCH_L3_05,2023-01-22 00:00:00,Shift A (Morning),480,480,0,None,930,900,30
SFT_00064,MCH_L3_03,2023-01-22 08:00:00,Shift B (Evening),480,460,20,Pressure Loss,899,882,17
SFT_00065,MCH_L2_01,2023-01-22 16:00:00,Shift C (Night),480,480,0,None,936,922,14
SFT_00066,MCH_L3_03,2023-01-23 00:00:00,Shift A (Morning),480,480,0,None,901,873,28
SFT_00067,MCH_L2_03,2023-01-23 08:00:00,Shift B (Evening),480,480,0,None,889,880,9
SFT_00068,MCH_L2_04,2023-01-23 16:00:00,Shift C (Night),480,480,0,None,919,889,30
SFT_00069,MCH_L2_01,2023-01-24 00:00:00,Shift A (Morning),480,480,0,None,848,839,9
SFT_00070,MCH_L1_02,2023-01-24 08:00:00,Shift B (Evening),480,480,0,None,880,841,39
SFT_00071,MCH_L3_04,2023-01-24 16:00:00,Shift C (Night),480,451,29,Calibration Lag,844,805,39
SFT_00072,MCH_L1_04,2023-01-25 00:00:00,Shift A (Morning),480,440,40,Pressure Loss,845,811,34
SFT_00073,MCH_L2_04,2023-01-25 08:00:00,Shift B (Evening),480,480,0,None,852,814,38
SFT_00074,MCH_L2_02,2023-01-25 16:00:00,Shift C (Night),480,464,16,Tool Breakdown,896,857,39
SFT_00075,MCH_L2_05,2023-01-26 00:00:00,Shift A (Morning),480,480,0,None,936,896,40
SFT_00076,MCH_L2_01,2023-01-26 08:00:00,Shift B (Evening),480,480,0,None,930,897,33
SFT_00077,MCH_L1_02,2023-01-26 16:00:00,Shift C (Night),480,480,0,None,890,867,23
SFT_00078,MCH_L3_05,2023-01-27 00:00:00,Shift A (Morning),480,480,0,None,899,865,34
SFT_00079,MCH_L1_03,2023-01-27 08:00:00,Shift B (Evening),480,480,0,None,882,867,15
SFT_00080,MCH_L1_04,2023-01-27 16:00:00,Shift C (Night),480,480,0,None,882,856,26
SFT_00081,MCH_L1_01,2023-01-28 00:00:00,Shift A (Morning),480,480,0,None,863,830,33
SFT_00082,MCH_L3_05,2023-01-28 08:00:00,Shift B (Evening),480,480,0,None,871,849,22
SFT_00083,MCH_L3_02,2023-01-28 16:00:00,Shift C (Night),480,480,0,None,898,873,25
SFT_00084,MCH_L2_03,2023-01-29 00:00:00,Shift A (Morning),480,429,51,Calibration Lag,827,806,21
SFT_00085,MCH_L3_01,2023-01-29 08:00:00,Shift B (Evening),480,355,125,Material Starvation,688,666,22
SFT_00086,MCH_L3_05,2023-01-29 16:00:00,Shift C (Night),480,404,76,Pressure Loss,790,757,33
SFT_00087,MCH_L2_01,2023-01-30 00:00:00,Shift A (Morning),480,480,0,None,874,846,28
SFT_00088,MCH_L1_01,2023-01-30 08:00:00,Shift B (Evening),480,453,27,Tool Breakdown,824,800,24
SFT_00089,MCH_L2_02,2023-01-30 16:00:00,Shift C (Night),480,480,0,None,931,888,43
SFT_00090,MCH_L2_01,2023-01-31 00:00:00,Shift A (Morning),480,480,0,None,897,872,25
SFT_00091,MCH_L2_05,2023-01-31 08:00:00,Shift B (Evening),480,480,0,None,937,911,26
SFT_00092,MCH_L3_03,2023-01-31 16:00:00,Shift C (Night),480,480,0,None,857,823,34
SFT_00093,MCH_L3_03,2023-02-01 00:00:00,Shift A (Morning),480,480,0,None,935,900,35
SFT_00094,MCH_L1_01,2023-02-01 08:00:00,Shift B (Evening),480,480,0,None,912,900,12
SFT_00095,MCH_L2_04,2023-02-01 16:00:00,Shift C (Night),480,480,0,None,918,909,9
SFT_00096,MCH_L3_03,2023-02-02 00:00:00,Shift A (Morning),480,480,0,None,895,886,9
SFT_00097,MCH_L2_01,2023-02-02 08:00:00,Shift B (Evening),480,480,0,None,909,868,41
SFT_00098,MCH_L2_02,2023-02-02 16:00:00,Shift C (Night),480,390,90,Calibration Lag,705,692,13
SFT_00099,MCH_L3_03,2023-02-03 00:00:00,Shift A (Morning),480,480,0,None,927,905,22
SFT_00100,MCH_L2_05,2023-02-03 08:00:00,Shift B (Evening),480,480,0,None,857,826,31
SFT_00101,MCH_L3_05,2023-02-03 16:00:00,Shift C (Night),480,453,27,Material Starvation,815,806,9
SFT_00102,MCH_L3_01,2023-02-04 00:00:00,Shift A (Morning),480,452,28,Tool Breakdown,876,867,9
SFT_00103,MCH_L1_02,2023-02-04 08:00:00,Shift B (Evening),480,480,0,None,899,861,38
SFT_00104,MCH_L3_01,2023-02-04 16:00:00,Shift C (Night),480,480,0,None,875,841,34
SFT_00105,MCH_L3_01,2023-02-05 00:00:00,Shift A (Morning),480,446,34,Tool Breakdown,831,791,40
SFT_00106,MCH_L1_01,2023-02-05 08:00:00,Shift B (Evening),480,405,75,Material Starvation,773,745,28
SFT_00107,MCH_L2_01,2023-02-05 16:00:00,Shift C (Night),480,480,0,None,915,887,28
SFT_00108,MCH_L1_04,2023-02-06 00:00:00,Shift A (Morning),480,480,0,None,869,827,42
SFT_00109,MCH_L3_05,2023-02-06 08:00:00,Shift B (Evening),480,480,0,None,872,831,41
SFT_00110,MCH_L1_05,2023-02-06 16:00:00,Shift C (Night),480,480,0,None,866,848,18
SFT_00111,MCH_L2_01,2023-02-07 00:00:00,Shift A (Morning),480,480,0,None,913,886,27
SFT_00112,MCH_L1_04,2023-02-07 08:00:00,Shift B (Evening),480,480,0,None,880,863,17
SFT_00113,MCH_L2_04,2023-02-07 16:00:00,Shift C (Night),480,471,9,Material Starvation,909,865,44
SFT_00114,MCH_L1_02,2023-02-08 00:00:00,Shift A (Morning),480,480,0,None,871,835,36
SFT_00115,MCH_L1_02,2023-02-08 08:00:00,Shift B (Evening),480,480,0,None,902,874,28
SFT_00116,MCH_L3_05,2023-02-08 16:00:00,Shift C (Night),480,473,7,Tool Breakdown,913,873,40
SFT_00117,MCH_L3_02,2023-02-09 00:00:00,Shift A (Morning),480,480,0,None,885,864,21
SFT_00118,MCH_L1_02,2023-02-09 08:00:00,Shift B (Evening),480,453,27,Material Starvation,840,828,12
SFT_00119,MCH_L2_01,2023-02-09 16:00:00,Shift C (Night),480,480,0,None,880,865,15
SFT_00120,MCH_L1_02,2023-02-10 00:00:00,Shift A (Morning),480,480,0,None,922,910,12
SFT_00121,MCH_L2_03,2023-02-10 08:00:00,Shift B (Evening),480,480,0,None,900,880,20
SFT_00122,MCH_L1_04,2023-02-10 16:00:00,Shift C (Night),480,341,139,Tool Breakdown,667,635,32
SFT_00123,MCH_L1_01,2023-02-11 00:00:00,Shift A (Morning),480,480,0,None,853,842,11
SFT_00124,MCH_L1_03,2023-02-11 08:00:00,Shift B (Evening),480,480,0,None,931,904,27
SFT_00125,MCH_L3_04,2023-02-11 16:00:00,Shift C (Night),480,478,2,Calibration Lag,889,868,21
SFT_00126,MCH_L3_03,2023-02-12 00:00:00,Shift A (Morning),480,480,0,None,861,848,13
SFT_00127,MCH_L2_04,2023-02-12 08:00:00,Shift B (Evening),480,480,0,None,876,837,39
SFT_00128,MCH_L2_02,2023-02-12 16:00:00,Shift C (Night),480,480,0,None,898,855,43
SFT_00129,MCH_L1_04,2023-02-13 00:00:00,Shift A (Morning),480,480,0,None,881,862,19
SFT_00130,MCH_L3_03,2023-02-13 08:00:00,Shift B (Evening),480,480,0,None,921,912,9
SFT_00131,MCH_L3_01,2023-02-13 16:00:00,Shift C (Night),480,468,12,Calibration Lag,840,804,36
SFT_00132,MCH_L3_05,2023-02-14 00:00:00,Shift A (Morning),480,435,45,Material Starvation,768,754,14
SFT_00133,MCH_L1_01,2023-02-14 08:00:00,Shift B (Evening),480,480,0,None,844,833,11
SFT_00134,MCH_L2_02,2023-02-14 16:00:00,Shift C (Night),480,480,0,None,898,863,35
SFT_00135,MCH_L3_05,2023-02-15 00:00:00,Shift A (Morning),480,480,0,None,936,908,28
SFT_00136,MCH_L2_05,2023-02-15 08:00:00,Shift B (Evening),480,476,4,Tool Breakdown,927,897,30
SFT_00137,MCH_L1_03,2023-02-15 16:00:00,Shift C (Night),480,453,27,Calibration Lag,884,855,29
SFT_00138,MCH_L2_05,2023-02-16 00:00:00,Shift A (Morning),480,478,2,Tool Breakdown,882,870,12
SFT_00139,MCH_L3_02,2023-02-16 08:00:00,Shift B (Evening),480,465,15,Pressure Loss,850,839,11
SFT_00140,MCH_L2_03,2023-02-16 16:00:00,Shift C (Night),480,480,0,None,882,856,26
SFT_00141,MCH_L3_04,2023-02-17 00:00:00,Shift A (Morning),480,480,0,None,861,828,33
SFT_00142,MCH_L1_05,2023-02-17 08:00:00,Shift B (Evening),480,480,0,None,876,845,31
SFT_00143,MCH_L3_04,2023-02-17 16:00:00,Shift C (Night),480,480,0,None,899,860,39
SFT_00144,MCH_L1_03,2023-02-18 00:00:00,Shift A (Morning),480,469,11,Pressure Loss,884,859,25
SFT_00145,MCH_L3_01,2023-02-18 08:00:00,Shift B (Evening),480,446,34,Pressure Loss,831,813,18
SFT_00146,MCH_L1_02,2023-02-18 16:00:00,Shift C (Night),480,472,8,Pressure Loss,876,860,16
SFT_00147,MCH_L2_01,2023-02-19 00:00:00,Shift A (Morning),480,480,0,None,893,862,31
SFT_00148,MCH_L3_02,2023-02-19 08:00:00,Shift B (Evening),480,469,11,Pressure Loss,859,845,14
SFT_00149,MCH_L3_03,2023-02-19 16:00:00,Shift C (Night),480,480,0,None,862,836,26
SFT_00150,MCH_L1_02,2023-02-20 00:00:00,Shift A (Morning),480,334,146,Pressure Loss,653,637,16
SFT_00151,MCH_L2_01,2023-02-20 08:00:00,Shift B (Evening),480,480,0,None,860,829,31
SFT_00152,MCH_L3_04,2023-02-20 16:00:00,Shift C (Night),480,480,0,None,929,887,42
SFT_00153,MCH_L2_04,2023-02-21 00:00:00,Shift A (Morning),480,477,3,Calibration Lag,861,842,19
SFT_00154,MCH_L3_01,2023-02-21 08:00:00,Shift B (Evening),480,392,88,Pressure Loss,759,724,35
SFT_00155,MCH_L3_01,2023-02-21 16:00:00,Shift C (Night),480,480,0,None,903,860,43
SFT_00156,MCH_L2_03,2023-02-22 00:00:00,Shift A (Morning),480,480,0,None,894,860,34
SFT_00157,MCH_L3_01,2023-02-22 08:00:00,Shift B (Evening),480,480,0,None,852,833,19
SFT_00158,MCH_L2_01,2023-02-22 16:00:00,Shift C (Night),480,480,0,None,866,851,15
SFT_00159,MCH_L2_03,2023-02-23 00:00:00,Shift A (Morning),480,461,19,Material Starvation,820,788,32
SFT_00160,MCH_L3_02,2023-02-23 08:00:00,Shift B (Evening),480,455,25,Material Starvation,867,853,14
SFT_00161,MCH_L1_04,2023-02-23 16:00:00,Shift C (Night),480,480,0,None,874,831,43
SFT_00162,MCH_L2_03,2023-02-24 00:00:00,Shift A (Morning),480,462,18,Tool Breakdown,895,862,33
SFT_00163,MCH_L2_02,2023-02-24 08:00:00,Shift B (Evening),480,434,46,Tool Breakdown,804,780,24
SFT_00164,MCH_L1_05,2023-02-24 16:00:00,Shift C (Night),480,480,0,None,885,862,23
SFT_00165,MCH_L1_02,2023-02-25 00:00:00,Shift A (Morning),480,392,88,Tool Breakdown,750,716,34
SFT_00166,MCH_L2_05,2023-02-25 08:00:00,Shift B (Evening),480,474,6,Material Starvation,920,911,9
SFT_00167,MCH_L3_01,2023-02-25 16:00:00,Shift C (Night),480,480,0,None,940,911,29
SFT_00168,MCH_L2_04,2023-02-26 00:00:00,Shift A (Morning),480,422,58,Material Starvation,803,792,11
SFT_00169,MCH_L2_04,2023-02-26 08:00:00,Shift B (Evening),480,480,0,None,920,907,13
SFT_00170,MCH_L2_03,2023-02-26 16:00:00,Shift C (Night),480,480,0,None,936,895,41
SFT_00171,MCH_L2_04,2023-02-27 00:00:00,Shift A (Morning),480,457,23,Tool Breakdown,894,875,19
SFT_00172,MCH_L3_01,2023-02-27 08:00:00,Shift B (Evening),480,397,83,Tool Breakdown,768,739,29
SFT_00173,MCH_L3_05,2023-02-27 16:00:00,Shift C (Night),480,480,0,None,845,809,36
SFT_00174,MCH_L1_01,2023-02-28 00:00:00,Shift A (Morning),480,480,0,None,873,853,20
SFT_00175,MCH_L2_05,2023-02-28 08:00:00,Shift B (Evening),480,480,0,None,874,846,28
SFT_00176,MCH_L1_02,2023-02-28 16:00:00,Shift C (Night),480,476,4,Pressure Loss,855,829,26
SFT_00177,MCH_L3_03,2023-03-01 00:00:00,Shift A (Morning),480,480,0,None,878,851,27
SFT_00178,MCH_L2_05,2023-03-01 08:00:00,Shift B (Evening),480,480,0,None,890,872,18
SFT_00179,MCH_L3_02,2023-03-01 16:00:00,Shift C (Night),480,480,0,None,915,876,39
SFT_00180,MCH_L2_03,2023-03-02 00:00:00,Shift A (Morning),480,463,17,Pressure Loss,906,862,44
SFT_00181,MCH_L1_01,2023-03-02 08:00:00,Shift B (Evening),480,480,0,None,940,931,9
SFT_00182,MCH_L3_03,2023-03-02 16:00:00,Shift C (Night),480,480,0,None,897,866,31
SFT_00183,MCH_L1_02,2023-03-03 00:00:00,Shift A (Morning),480,421,59,Material Starvation,811,778,33
SFT_00184,MCH_L2_02,2023-03-03 08:00:00,Shift B (Evening),480,480,0,None,928,914,14
SFT_00185,MCH_L1_01,2023-03-03 16:00:00,Shift C (Night),480,473,7,Material Starvation,834,816,18
SFT_00186,MCH_L2_04,2023-03-04 00:00:00,Shift A (Morning),480,480,0,None,890,881,9
SFT_00187,MCH_L1_03,2023-03-04 08:00:00,Shift B (Evening),480,480,0,None,896,871,25
SFT_00188,MCH_L1_05,2023-03-04 16:00:00,Shift C (Night),480,480,0,None,924,902,22
SFT_00189,MCH_L3_05,2023-03-05 00:00:00,Shift A (Morning),480,430,50,Calibration Lag,823,795,28
SFT_00190,MCH_L3_01,2023-03-05 08:00:00,Shift B (Evening),480,454,26,Tool Breakdown,836,796,40
SFT_00191,MCH_L3_01,2023-03-05 16:00:00,Shift C (Night),480,468,12,Material Starvation,832,795,37
SFT_00192,MCH_L1_01,2023-03-06 00:00:00,Shift A (Morning),480,480,0,None,881,866,15
SFT_00193,MCH_L3_04,2023-03-06 08:00:00,Shift B (Evening),480,480,0,None,872,844,28
SFT_00194,MCH_L3_02,2023-03-06 16:00:00,Shift C (Night),480,480,0,None,848,821,27
SFT_00195,MCH_L2_05,2023-03-07 00:00:00,Shift A (Morning),480,480,0,None,940,912,28
SFT_00196,MCH_L3_01,2023-03-07 08:00:00,Shift B (Evening),480,480,0,None,909,878,31
SFT_00197,MCH_L3_05,2023-03-07 16:00:00,Shift C (Night),480,480,0,None,935,889,46
SFT_00198,MCH_L2_05,2023-03-08 00:00:00,Shift A (Morning),480,480,0,None,936,897,39
SFT_00199,MCH_L3_02,2023-03-08 08:00:00,Shift B (Evening),480,480,0,None,859,818,41
SFT_00200,MCH_L3_04,2023-03-08 16:00:00,Shift C (Night),480,480,0,None,860,840,20
SFT_00201,MCH_L2_02,2023-03-09 00:00:00,Shift A (Morning),480,480,0,None,937,927,10
SFT_00202,MCH_L3_01,2023-03-09 08:00:00,Shift B (Evening),480,479,1,Material Starvation,868,845,23
SFT_00203,MCH_L1_02,2023-03-09 16:00:00,Shift C (Night),480,480,0,None,883,857,26
SFT_00204,MCH_L3_02,2023-03-10 00:00:00,Shift A (Morning),480,480,0,None,937,892,45
SFT_00205,MCH_L1_01,2023-03-10 08:00:00,Shift B (Evening),480,480,0,None,897,887,10
SFT_00206,MCH_L1_02,2023-03-10 16:00:00,Shift C (Night),480,480,0,None,880,843,37
SFT_00207,MCH_L1_03,2023-03-11 00:00:00,Shift A (Morning),480,480,0,None,894,861,33
SFT_00208,MCH_L3_04,2023-03-11 08:00:00,Shift B (Evening),480,480,0,None,873,838,35
SFT_00209,MCH_L2_03,2023-03-11 16:00:00,Shift C (Night),480,460,20,Calibration Lag,885,851,34
SFT_00210,MCH_L3_05,2023-03-12 00:00:00,Shift A (Morning),480,470,10,Tool Breakdown,873,860,13
SFT_00211,MCH_L2_02,2023-03-12 08:00:00,Shift B (Evening),480,480,0,None,932,886,46
SFT_00212,MCH_L1_03,2023-03-12 16:00:00,Shift C (Night),480,402,78,Calibration Lag,752,742,10
SFT_00213,MCH_L3_04,2023-03-13 00:00:00,Shift A (Morning),480,444,36,Material Starvation,797,765,32
SFT_00214,MCH_L1_02,2023-03-13 08:00:00,Shift B (Evening),480,479,1,Tool Breakdown,883,844,39
SFT_00215,MCH_L3_02,2023-03-13 16:00:00,Shift C (Night),480,480,0,None,924,903,21
SFT_00216,MCH_L3_03,2023-03-14 00:00:00,Shift A (Morning),480,470,10,Pressure Loss,893,849,44
SFT_00217,MCH_L2_02,2023-03-14 08:00:00,Shift B (Evening),480,459,21,Calibration Lag,837,828,9
SFT_00218,MCH_L3_02,2023-03-14 16:00:00,Shift C (Night),480,467,13,Pressure Loss,824,800,24
SFT_00219,MCH_L1_05,2023-03-15 00:00:00,Shift A (Morning),480,480,0,None,894,865,29
SFT_00220,MCH_L2_02,2023-03-15 08:00:00,Shift B (Evening),480,480,0,None,869,849,20
SFT_00221,MCH_L2_05,2023-03-15 16:00:00,Shift C (Night),480,430,50,Pressure Loss,817,796,21
SFT_00222,MCH_L3_03,2023-03-16 00:00:00,Shift A (Morning),480,480,0,None,854,814,40
SFT_00223,MCH_L1_05,2023-03-16 08:00:00,Shift B (Evening),480,480,0,None,901,873,28
SFT_00224,MCH_L3_02,2023-03-16 16:00:00,Shift C (Night),480,480,0,None,860,824,36
SFT_00225,MCH_L3_01,2023-03-17 00:00:00,Shift A (Morning),480,449,31,Material Starvation,818,792,26
SFT_00226,MCH_L1_01,2023-03-17 08:00:00,Shift B (Evening),480,440,40,Material Starvation,794,778,16
SFT_00227,MCH_L3_01,2023-03-17 16:00:00,Shift C (Night),480,480,0,None,857,838,19
SFT_00228,MCH_L1_02,2023-03-18 00:00:00,Shift A (Morning),480,480,0,None,860,820,40
SFT_00229,MCH_L2_01,2023-03-18 08:00:00,Shift B (Evening),480,480,0,None,923,881,42
SFT_00230,MCH_L2_05,2023-03-18 16:00:00,Shift C (Night),480,472,8,Material Starvation,906,895,11
SFT_00231,MCH_L1_03,2023-03-19 00:00:00,Shift A (Morning),480,480,0,None,914,884,30
SFT_00232,MCH_L3_01,2023-03-19 08:00:00,Shift B (Evening),480,480,0,None,937,911,26
SFT_00233,MCH_L1_02,2023-03-19 16:00:00,Shift C (Night),480,413,67,Material Starvation,783,758,25
SFT_00234,MCH_L1_01,2023-03-20 00:00:00,Shift A (Morning),480,480,0,None,878,846,32
SFT_00235,MCH_L3_02,2023-03-20 08:00:00,Shift B (Evening),480,410,70,Tool Breakdown,727,692,35
SFT_00236,MCH_L2_04,2023-03-20 16:00:00,Shift C (Night),480,480,0,None,866,848,18
SFT_00237,MCH_L2_03,2023-03-21 00:00:00,Shift A (Morning),480,480,0,None,928,888,40
SFT_00238,MCH_L3_01,2023-03-21 08:00:00,Shift B (Evening),480,480,0,None,849,824,25
SFT_00239,MCH_L3_04,2023-03-21 16:00:00,Shift C (Night),480,480,0,None,914,891,23
SFT_00240,MCH_L1_04,2023-03-22 00:00:00,Shift A (Morning),480,473,7,Tool Breakdown,898,877,21
SFT_00241,MCH_L1_04,2023-03-22 08:00:00,Shift B (Evening),480,480,0,None,929,900,29
SFT_00242,MCH_L1_01,2023-03-22 16:00:00,Shift C (Night),480,470,10,Tool Breakdown,917,900,17
SFT_00243,MCH_L1_05,2023-03-23 00:00:00,Shift A (Morning),480,480,0,None,885,861,24
SFT_00244,MCH_L3_05,2023-03-23 08:00:00,Shift B (Evening),480,480,0,None,919,900,19
SFT_00245,MCH_L2_05,2023-03-23 16:00:00,Shift C (Night),480,480,0,None,849,833,16
SFT_00246,MCH_L3_02,2023-03-24 00:00:00,Shift A (Morning),480,480,0,None,862,848,14
SFT_00247,MCH_L1_04,2023-03-24 08:00:00,Shift B (Evening),480,480,0,None,848,811,37
SFT_00248,MCH_L2_05,2023-03-24 16:00:00,Shift C (Night),480,480,0,None,867,826,41
SFT_00249,MCH_L3_05,2023-03-25 00:00:00,Shift A (Morning),480,480,0,None,907,879,28
SFT_00250,MCH_L2_02,2023-03-25 08:00:00,Shift B (Evening),480,445,35,Tool Breakdown,833,807,26
SFT_00251,MCH_L1_01,2023-03-25 16:00:00,Shift C (Night),480,480,0,None,917,903,14
SFT_00252,MCH_L3_03,2023-03-26 00:00:00,Shift A (Morning),480,461,19,Tool Breakdown,815,787,28
SFT_00253,MCH_L3_02,2023-03-26 08:00:00,Shift B (Evening),480,457,23,Tool Breakdown,853,817,36
SFT_00254,MCH_L3_04,2023-03-26 16:00:00,Shift C (Night),480,437,43,Calibration Lag,808,798,10
SFT_00255,MCH_L2_01,2023-03-27 00:00:00,Shift A (Morning),480,480,0,None,933,891,42
SFT_00256,MCH_L3_01,2023-03-27 08:00:00,Shift B (Evening),480,474,6,Material Starvation,883,874,9
SFT_00257,MCH_L1_01,2023-03-27 16:00:00,Shift C (Night),480,480,0,None,927,898,29
