log_id,machine_id,timestamp,air_temperature_k,process_temperature_k,rotational_speed_rpm,torque_nm,tool_wear_minutes,failure_type,machine_failed
LOG_0000047,MCH_L3_04,2023-01-01 23:00:00,303.17,311.87,1537,16.31,117,No Failure,0
LOG_0000048,MCH_L3_05,2023-01-01 23:30:00,301.09,313.61,1478,48.19,181,No Failure,0
LOG_0000049,MCH_L3_04,2023-01-02 00:00:00,293.77,303.85,1264,36.72,185,No Failure,0
LOG_0000050,MCH_L1_03,2023-01-02 00:30:00,297.54,306.72,1603,29.78,238,No Failure,0
LOG_0000051,MCH_L3_02,2023-01-02 01:00:00,301.32,312.38,1488,33.94,139,No Failure,0
LOG_0000052,MCH_L2_02,2023-01-02 01:30:00,303.2,315.66,1349,26.74,111,No Failure,0
LOG_0000053,MCH_L1_04,2023-01-02 02:00:00,302.1,311.61,1591,54.44,145,No Failure,0
LOG_0000054,MCH_L2_04,2023-01-02 02:30:00,299.11,308.27,1670,52.36,223,No Failure,0
LOG_0000055,MCH_L1_03,2023-01-02 03:00:00,295.17,307.92,1604,38.05,194,No Failure,0
LOG_0000056,MCH_L1_05,2023-01-02 03:30:00,302.18,312.03,1580,38.77,187,No Failure,0
LOG_0000057,MCH_L1_03,2023-01-02 04:00:00,299.26,308.98,1612,41.66,124,No Failure,0
LOG_0000058,MCH_L2_02,2023-01-02 04:30:00,300.17,307.6,1172,54.22,99,No Failure,0
LOG_0000059,MCH_L1_05,2023-01-02 05:00:00,299.56,309.52,1706,30.99,238,No Failure,0
LOG_0000060,MCH_L2_04,2023-01-02 05:30:00,296.61,304.98,1404,38.59,237,No Failure,0
LOG_0000061,MCH_L2_02,2023-01-02 06:00:00,300.91,310.24,1415,50.61,0,No Failure,0
LOG_0000062,MCH_L1_02,2023-01-02 06:30:00,300.57,308.15,1443,37.16,120,No Failure,0
LOG_0000063,MCH_L1_04,2023-01-02 07:00:00,298.94,310.42,1457,32.9,88,No Failure,0
LOG_0000064,MCH_L2_04,2023-01-02 07:30:00,301.18,309.42,1680,41.41,19,No Failure,0
LOG_0000065,MCH_L3_02,2023-01-02 08:00:00,296.57,304.24,1565,24.84,16,No Failure,0
LOG_0000066,MCH_L3_04,2023-01-02 08:30:00,299.33,308.24,1418,43.16,176,No Failure,0
LOG_0000067,MCH_L1_02,2023-01-02 09:00:00,300.07,311.57,1436,37.86,149,No Failure,0
LOG_0000068,MCH_L2_05,2023-01-02 09:30:00,295.66,305.13,1799,45.41,113,No Failure,0
LOG_0000069,MCH_L2_04,2023-01-02 10:00:00,299.86,309.49,1542,34.1,160,No Failure,0
LOG_0000070,MCH_L2_05,2023-01-02 10:30:00,301.83,312.4,1448,43.85,25,No Failure,0
LOG_0000071,MCH_L1_05,2023-01-02 11:00:00,299.24,309.06,1305,41.79,26,No Failure,0
LOG_0000072,MCH_L1_02,2023-01-02 11:30:00,299.91,311.4,1298,29.96,187,No Failure,0
LOG_0000073,MCH_L1_04,2023-01-02 12:00:00,301.41,311.12,1365,31.97,161,No Failure,0
LOG_0000074,MCH_L3_02,2023-01-02 12:30:00,299.03,308.76,1511,50.45,86,No Failure,0
LOG_0000075,MCH_L3_05,2023-01-02 13:00:00,299.26,311.98,1633,48.14,79,No Failure,0
LOG_0000076,MCH_L3_02,2023-01-02 13:30:00,297.06,307.13,1573,25.29,205,No Failure,0
LOG_0000077,MCH_L2_02,2023-01-02 14:00:00,299.96,310.24,1640,36.3,179,No Failure,0
LOG_0000078,MCH_L3_02,2023-01-02 14:30:00,299.16,308.91,1567,42.68,54,No Failure,0
LOG_0000079,MCH_L3_03,2023-01-02 15:00:00,301.25,308.34,1352,44.53,60,Overstrain,1
LOG_0000080,MCH_L2_03,2023-01-02 15:30:00,301.41,312.46,1550,42.34,177,No Failure,0
LOG_0000081,MCH_L3_05,2023-01-02 16:00:00,301.98,313.97,1556,43.22,232,No Failure,0
LOG_0000082,MCH_L1_03,2023-01-02 16:30:00,298.73,310.24,1485,36.94,190,No Failure,0
LOG_0000083,MCH_L3_04,2023-01-02 17:00:00,294.56,303.89,1463,41.48,191,No Failure,0
LOG_0000084,MCH_L1_01,2023-01-02 17:30:00,301.85,311.64,1482,31.67,13,No Failure,0
LOG_0000085,MCH_L1_04,2023-01-02 18:00:00,301.08,311.5,1314,36.88,125,No Failure,0
LOG_0000086,MCH_L1_02,2023-01-02 18:30:00,298.41,308.79,1340,22.28,108,No Failure,0
LOG_0000087,MCH_L2_03,2023-01-02 19:00:00,301.39,312.21,1805,31.02,217,No Failure,0
LOG_0000088,MCH_L1_04,2023-01-02 19:30:00,296.38,306.62,1349,32.52,237,No Failure,0
LOG_0000089,MCH_L1_02,2023-01-02 20:00:00,302.58,312.15,1288,32.94,121,No Failure,0
LOG_0000090,MCH_L3_04,2023-01-02 20:30:00,299.17,309.33,1413,46.2,50,No Failure,0
LOG_0000091,MCH_L2_01,2023-01-02 21:00:00,297.93,309.13,1555,26.63,112,No Failure,0
LOG_0000092,MCH_L2_01,2023-01-02 21:30:00,298.45,311.95,1567,34.57,154,No Failure,0
LOG_0000093,MCH_L2_05,2023-01-02 22:00:00,299.42,308.82,1377,45.48,167,No Failure,0
LOG_0000094,MCH_L1_04,2023-01-02 22:30:00,299.97,310.24,1511,28.74,67,Heat Dissipation,1
LOG_0000095,MCH_L2_01,2023-01-02 23:00:00,300.12,309.68,1434,50.78,8,Overstrain,1
LOG_0000096,MCH_L3_03,2023-01-02 23:30:00,298.93,309.3,1522,41.52,183,No Failure,0
LOG_0000097,MCH_L3_05,2023-01-03 00:00:00,300.5,311.67,1464,45.86,218,No Failure,0
LOG_0000098,MCH_L1_02,2023-01-03 00:30:00,300.02,309.77,1416,31.97,234,No Failure,0
LOG_0000099,MCH_L2_05,2023-01-03 01:00:00,298.38,305.92,1422,33.54,38,No Failure,0
LOG_0000100,MCH_L3_02,2023-01-03 01:30:00,298.0,309.23,1236,38.79,142,No Failure,0
LOG_0000101,MCH_L1_02,2023-01-03 02:00:00,301.52,311.68,1473,46.9,88,No Failure,0
LOG_0000102,MCH_L2_05,2023-01-03 02:30:00,301.31,310.9,1490,46.64,17,No Failure,0
LOG_0000103,MCH_L3_04,2023-01-03 03:00:00,300.14,309.46,1330,43.38,51,No Failure,0
LOG_0000104,MCH_L1_04,2023-01-03 03:30:00,302.31,312.68,1459,38.14,188,No Failure,0
LOG_0000105,MCH_L3_04,2023-01-03 04:00:00,295.1,304.26,1469,33.46,221,No Failure,0
LOG_0000106,MCH_L3_05,2023-01-03 04:30:00,298.59,307.9,1277,48.93,36,No Failure,0
LOG_0000107,MCH_L3_05,2023-01-03 05:00:00,297.11,305.61,1407,36.99,79,No Failure,0
LOG_0000108,MCH_L2_03,2023-01-03 05:30:00,305.64,314.82,1403,26.9,180,Heat Dissipation,1
LOG_0000109,MCH_L3_04,2023-01-03 06:00:00,301.78,312.54,1521,31.83,139,No Failure,0
LOG_0000110,MCH_L2_02,2023-01-03 06:30:00,299.8,308.14,1649,34.02,208,No Failure,0
LOG_0000111,MCH_L3_02,2023-01-03 07:00:00,301.96,313.34,1505,37.09,152,No Failure,0
LOG_0000112,MCH_L2_04,2023-01-03 07:30:00,302.79,311.38,1639,39.38,78,No Failure,0
LOG_0000113,MCH_L3_04,2023-01-03 08:00:00,302.76,312.94,1473,28.37,24,No Failure,0
LOG_0000114,MCH_L2_03,2023-01-03 08:30:00,302.3,312.88,1544,35.88,148,No Failure,0
LOG_0000115,MCH_L1_05,2023-01-03 09:00:00,299.34,310.33,1508,36.96,121,No Failure,0
LOG_0000116,MCH_L3_03,2023-01-03 09:30:00,298.75,309.74,1789,38.28,210,No Failure,0
LOG_0000117,MCH_L1_02,2023-01-03 10:00:00,297.59,307.49,1481,33.39,87,No Failure,0
LOG_0000118,MCH_L3_05,2023-01-03 10:30:00,301.26,311.05,1593,61.01,134,No Failure,0
LOG_0000119,MCH_L1_05,2023-01-03 11:00:00,299.6,310.32,1524,36.97,203,No Failure,0
LOG_0000120,MCH_L2_03,2023-01-03 11:30:00,298.95,309.28,1635,34.94,176,No Failure,0
LOG_0000121,MCH_L2_05,2023-01-03 12:00:00,298.82,308.41,1575,30.67,38,No Failure,0
LOG_0000122,MCH_L2_04,2023-01-03 12:30:00,303.63,314.08,1540,46.48,74,No Failure,0
LOG_0000123,MCH_L3_02,2023-01-03 13:00:00,302.38,312.18,1363,24.23,96,No Failure,0
LOG_0000124,MCH_L3_02,2023-01-03 13:30:00,304.58,313.86,1373,24.88,48,No Failure,0
LOG_0000125,MCH_L3_02,2023-01-03 14:00:00,301.32,310.87,1426,39.71,216,No Failure,0
LOG_0000126,MCH_L3_03,2023-01-03 14:30:00,300.14,310.72,1464,43.95,230,No Failure,0
LOG_0000127,MCH_L2_04,2023-01-03 15:00:00,299.94,308.83,1513,39.24,161,No Failure,0
LOG_0000128,MCH_L3_03,2023-01-03 15:30:00,297.45,308.78,1426,57.25,202,No Failure,0
LOG_0000129,MCH_L3_05,2023-01-03 16:00:00,296.85,306.18,1262,35.58,143,No Failure,0
LOG_0000130,MCH_L3_03,2023-01-03 16:30:00,301.27,308.56,1623,37.42,95,No Failure,0
LOG_0000131,MCH_L1_01,2023-01-03 17:00:00,297.66,308.32,1553,39.66,142,No Failure,0
LOG_0000132,MCH_L2_04,2023-01-03 17:30:00,300.53,307.29,1507,40.36,39,No Failure,0
LOG_0000133,MCH_L2_02,2023-01-03 18:00:00,302.79,311.58,1650,38.95,206,No Failure,0
LOG_0000134,MCH_L2_04,2023-01-03 18:30:00,298.34,311.25,1403,38.52,6,No Failure,0
LOG_0000135,MCH_L2_03,2023-01-03 19:00:00,305.03,316.3,1484,28.9,100,Overstrain,1
LOG_0000136,MCH_L1_01,2023-01-03 19:30:00,297.52,308.69,1519,45.85,39,No Failure,0
LOG_0000137,MCH_L3_02,2023-01-03 20:00:00,302.48,311.14,1450,48.32,193,No Failure,0
LOG_0000138,MCH_L2_03,2023-01-03 20:30:00,301.06,310.84,1404,35.99,69,No Failure,0
LOG_0000139,MCH_L2_03,2023-01-03 21:00:00,302.99,314.48,1604,39.62,227,No Failure,0
LOG_0000140,MCH_L3_05,2023-01-03 21:30:00,297.21,307.98,1534,53.22,102,No Failure,0
LOG_0000141,MCH_L3_01,2023-01-03 22:00:00,305.77,317.13,1574,33.6,229,Heat Dissipation,1
LOG_0000142,MCH_L1_03,2023-01-03 22:30:00,299.55,311.69,1401,41.75,91,No Failure,0
LOG_0000143,MCH_L1_01,2023-01-03 23:00:00,301.69,312.48,1599,40.84,21,No Failure,0
LOG_0000144,MCH_L2_03,2023-01-03 23:30:00,303.61,312.13,1425,53.64,100,No Failure,0
LOG_0000145,MCH_L1_03,2023-01-04 00:00:00,298.49,309.21,1529,55.79,186,No Failure,0
LOG_0000146,MCH_L1_03,2023-01-04 00:30:00,302.06,311.78,1737,46.77,132,No Failure,0
LOG_0000147,MCH_L1_01,2023-01-04 01:00:00,298.07,306.52,1602,70.11,145,No Failure,0
LOG_0000148,MCH_L3_01,2023-01-04 01:30:00,303.49,314.56,1540,40.24,10,No Failure,0
LOG_0000149,MCH_L1_05,2023-01-04 02:00:00,298.1,309.54,1662,2.04,118,No Failure,0
LOG_0000150,MCH_L2_05,2023-01-04 02:30:00,300.1,309.99,1431,35.65,7,No Failure,0
LOG_0000151,MCH_L2_02,2023-01-04 03:00:00,300.77,311.15,1558,36.17,19,No Failure,0
LOG_0000152,MCH_L2_05,2023-01-04 03:30:00,301.96,309.47,1400,53.18,202,No Failure,0
LOG_0000153,MCH_L2_04,2023-01-04 04:00:00,304.92,316.27,1456,38.41,58,No Failure,0
LOG_0000154,MCH_L3_02,2023-01-04 04:30:00,298.87,309.82,1690,51.27,90,No Failure,0
LOG_0000155,MCH_L2_02,2023-01-04 05:00:00,302.85,313.15,1532,46.84,220,No Failure,0
LOG_0000156,MCH_L2_04,2023-01-04 05:30:00,304.93,313.43,1668,42.5,152,No Failure,0
LOG_0000157,MCH_L2_03,2023-01-04 06:00:00,300.41,308.44,1487,43.43,185,No Failure,0
LOG_0000158,MCH_L3_02,2023-01-04 06:30:00,298.62,311.05,1646,42.42,114,No Failure,0
LOG_0000159,MCH_L1_02,2023-01-04 07:00:00,295.67,304.47,1506,49.67,18,No Failure,0
LOG_0000160,MCH_L1_01,2023-01-04 07:30:00,304.71,314.87,1516,37.87,124,No Failure,0
LOG_0000161,MCH_L2_02,2023-01-04 08:00:00,299.39,308.23,1502,36.75,129,No Failure,0
LOG_0000162,MCH_L2_02,2023-01-04 08:30:00,297.5,304.75,1543,43.49,105,No Failure,0
LOG_0000163,MCH_L3_04,2023-01-04 09:00:00,296.6,307.14,1468,41.66,230,No Failure,0
LOG_0000164,MCH_L2_03,2023-01-04 09:30:00,297.49,308.21,1333,38.23,235,No Failure,0
LOG_0000165,MCH_L1_05,2023-01-04 10:00:00,302.3,310.3,1495,58.58,185,No Failure,0
LOG_0000166,MCH_L1_03,2023-01-04 10:30:00,302.64,313.97,1515,46.07,65,No Failure,0
LOG_0000167,MCH_L3_02,2023-01-04 11:00:00,301.63,311.0,1696,35.25,6,No Failure,0
LOG_0000168,MCH_L2_03,2023-01-04 11:30:00,300.33,309.03,1228,45.09,50,No Failure,0
LOG_0000169,MCH_L2_01,2023-01-04 12:00:00,296.89,305.51,1694,32.0,94,No Failure,0
LOG_0000170,MCH_L3_01,2023-01-04 12:30:00,298.18,309.23,1625,30.26,160,No Failure,0
LOG_0000171,MCH_L1_03,2023-01-04 13:00:00,297.23,304.92,1582,46.81,74,No Failure,0
LOG_0000172,MCH_L1_01,2023-01-04 13:30:00,301.43,309.94,1518,32.7,231,No Failure,0
LOG_0000173,MCH_L1_03,2023-01-04 14:00:00,297.34,307.86,1377,40.35,103,No Failure,0
LOG_0000174,MCH_L1_05,2023-01-04 14:30:00,298.21,308.57,1734,31.16,237,No Failure,0
LOG_0000175,MCH_L3_05,2023-01-04 15:00:00,299.54,308.31,1648,37.54,12,Tool Wear,1
LOG_0000176,MCH_L3_04,2023-01-04 15:30:00,295.83,307.37,1530,36.33,137,No Failure,0
LOG_0000177,MCH_L1_03,2023-01-04 16:00:00,300.12,308.78,1534,39.2,112,No Failure,0
LOG_0000178,MCH_L1_01,2023-01-04 16:30:00,299.73,309.48,1486,59.61,58,No Failure,0
LOG_0000179,MCH_L1_05,2023-01-04 17:00:00,302.96,312.55,1571,50.9,37,No Failure,0
LOG_0000180,MCH_L2_05,2023-01-04 17:30:00,297.95,307.55,1494,39.04,19,No Failure,0
LOG_0000181,MCH_L2_02,2023-01-04 18:00:00,296.75,306.52,1536,38.25,212,No Failure,0
LOG_0000182,MCH_L3_05,2023-01-04 18:30:00,299.06,308.79,1552,34.0,13,Overstrain,1
LOG_0000183,MCH_L3_04,2023-01-04 19:00:00,297.25,306.96,1791,31.18,215,No Failure,0
LOG_0000184,MCH_L2_02,2023-01-04 19:30:00,300.1,309.88,1390,38.73,39,No Failure,0
LOG_0000185,MCH_L3_01,2023-01-04 20:00:00,295.35,306.65,1519,51.33,134,No Failure,0
LOG_0000186,MCH_L2_04,2023-01-04 20:30:00,298.49,308.21,1647,13.15,196,No Failure,0
LOG_0000187,MCH_L3_05,2023-01-04 21:00:00,297.68,308.51,1599,48.68,5,No Failure,0
LOG_0000188,MCH_L3_05,2023-01-04 21:30:00,301.42,311.6,1581,49.75,167,No Failure,0
LOG_0000189,MCH_L2_05,2023-01-04 22:00:00,297.97,308.41,1861,21.87,180,No Failure,0
LOG_0000190,MCH_L2_05,2023-01-04 22:30:00,295.66,306.59,1630,40.31,226,No Failure,0
LOG_0000191,MCH_L3_02,2023-01-04 23:00:00,299.5,308.13,1425,36.29,8,Heat Dissipation,1
LOG_0000192,MCH_L3_03,2023-01-04 23:30:00,300.8,311.55,1411,38.58,105,No Failure,0
LOG_0000193,MCH_L1_03,2023-01-05 00:00:00,299.32,309.07,1495,41.82,64,No Failure,0
LOG_0000194,MCH_L3_05,2023-01-05 00:30:00,298.47,307.32,1447,42.7,230,Heat Dissipation,1
LOG_0000195,MCH_L2_02,2023-01-05 01:00:00,298.32,309.25,1509,28.35,147,No Failure,0
LOG_0000196,MCH_L1_01,2023-01-05 01:30:00,300.28,309.77,1540,53.83,133,No Failure,0
LOG_0000197,MCH_L1_04,2023-01-05 02:00:00,297.78,308.23,1532,35.96,95,No Failure,0
LOG_0000198,MCH_L3_03,2023-01-05 02:30:00,299.18,305.93,1205,62.36,204,No Failure,0
LOG_0000199,MCH_L1_04,2023-01-05 03:00:00,301.88,312.75,1409,31.99,38,No Failure,0
LOG_0000200,MCH_L3_04,2023-01-05 03:30:00,296.75,309.86,1585,31.01,231,No Failure,0
LOG_0000201,MCH_L1_05,2023-01-05 04:00:00,299.89,309.88,1697,42.75,122,No Failure,0
LOG_0000202,MCH_L2_02,2023-01-05 04:30:00,295.53,305.21,1451,47.64,20,No Failure,0
LOG_0000203,MCH_L2_02,2023-01-05 05:00:00,300.57,310.02,1452,50.83,36,No Failure,0
LOG_0000204,MCH_L3_03,2023-01-05 05:30:00,297.55,308.22,1489,31.6,11,No Failure,0
LOG_0000205,MCH_L3_05,2023-01-05 06:00:00,302.55,312.19,1706,37.16,197,No Failure,0
LOG_0000206,MCH_L3_01,2023-01-05 06:30:00,296.31,307.09,1506,55.86,14,No Failure,0
LOG_0000207,MCH_L3_03,2023-01-05 07:00:00,301.11,313.18,1230,36.86,148,No Failure,0
LOG_0000208,MCH_L1_04,2023-01-05 07:30:00,303.05,314.06,1714,47.57,84,No Failure,0
LOG_0000209,MCH_L3_03,2023-01-05 08:00:00,297.42,307.21,1582,23.9,91,No Failure,0
LOG_0000210,MCH_L2_02,2023-01-05 08:30:00,297.85,306.51,1344,26.29,99,No Failure,0
LOG_0000211,MCH_L3_01,2023-01-05 09:00:00,297.64,307.15,1438,48.21,208,No Failure,0
LOG_0000212,MCH_L1_03,2023-01-05 09:30:00,298.79,308.6,1404,38.74,173,Power Failure,1
LOG_0000213,MCH_L2_01,2023-01-05 10:00:00,301.29,309.71,1474,46.43,198,No Failure,0
LOG_0000214,MCH_L3_02,2023-01-05 10:30:00,298.58,309.88,1678,34.66,214,No Failure,0
LOG_0000215,MCH_L1_02,2023-01-05 11:00:00,297.2,307.88,1275,25.92,108,No Failure,0
LOG_0000216,MCH_L2_05,2023-01-05 11:30:00,294.95,303.69,1458,40.79,85,No Failure,0
LOG_0000217,MCH_L3_03,2023-01-05 12:00:00,304.0,311.86,1513,28.13,137,No Failure,0
LOG_0000218,MCH_L3_04,2023-01-05 12:30:00,304.2,315.06,1491,41.06,81,No Failure,0
LOG_0000219,MCH_L2_04,2023-01-05 13:00:00,301.4,309.43,1404,31.79,65,No Failure,0
LOG_0000220,MCH_L1_05,2023-01-05 13:30:00,297.97,308.07,1642,45.55,117,No Failure,0
LOG_0000221,MCH_L2_01,2023-01-05 14:00:00,301.87,311.38,1480,37.7,203,No Failure,0
LOG_0000222,MCH_L3_02,2023-01-05 14:30:00,302.37,313.33,1465,37.43,236,No Failure,0
LOG_0000223,MCH_L3_02,2023-01-05 15:00:00,299.36,310.33,1541,42.9,116,No Failure,0
LOG_0000224,MCH_L3_02,2023-01-05 15:30:00,300.1,309.11,1466,47.9,166,No Failure,0
LOG_0000225,MCH_L3_02,2023-01-05 16:00:00,303.08,314.15,1433,41.55,21,No Failure,0
LOG_0000226,MCH_L1_04,2023-01-05 16:30:00,295.9,305.55,1388,55.15,234,No Failure,0
LOG_0000227,MCH_L3_04,2023-01-05 17:00:00,302.5,312.52,1762,54.8,85,No Failure,0
LOG_0000228,MCH_L3_04,2023-01-05 17:30:00,299.23,309.28,1595,34.03,169,No Failure,0
LOG_0000229,MCH_L3_01,2023-01-05 18:00:00,297.22,309.92,1454,30.5,213,No Failure,0
LOG_0000230,MCH_L2_05,2023-01-05 18:30:00,297.42,307.28,1652,29.61,133,No Failure,0
LOG_0000231,MCH_L2_02,2023-01-05 19:00:00,297.84,305.83,1562,55.32,109,No Failure,0
LOG_0000232,MCH_L3_02,2023-01-05 19:30:00,296.97,306.11,1504,29.65,179,No Failure,0
LOG_0000233,MCH_L2_04,2023-01-05 20:00:00,304.43,315.32,1376,36.7,164,No Failure,0
LOG_0000234,MCH_L2_02,2023-01-05 20:30:00,301.23,310.89,1400,40.09,211,No Failure,0
LOG_0000235,MCH_L3_04,2023-01-05 21:00:00,302.66,312.68,1616,55.05,5,No Failure,0
LOG_0000236,MCH_L1_01,2023-01-05 21:30:00,301.41,310.89,1590,28.86,72,No Failure,0
LOG_0000237,MCH_L1_01,2023-01-05 22:00:00,300.15,306.77,1335,49.24,156,No Failure,0
LOG_0000238,MCH_L2_04,2023-01-05 22:30:00,300.19,309.26,1451,40.12,100,No Failure,0
LOG_0000239,MCH_L3_01,2023-01-05 23:00:00,299.01,308.92,1581,38.91,196,Tool Wear,1
LOG_0000240,MCH_L3_04,2023-01-05 23:30:00,299.21,307.09,1633,39.77,178,No Failure,0
LOG_0000241,MCH_L2_04,2023-01-06 00:00:00,296.48,305.07,1561,34.02,76,No Failure,0
LOG_0000242,MCH_L1_04,2023-01-06 00:30:00,302.7,312.29,1445,36.47,26,No Failure,0
LOG_0000243,MCH_L3_03,2023-01-06 01:00:00,295.47,305.07,1528,33.85,214,No Failure,0
LOG_0000244,MCH_L2_04,2023-01-06 01:30:00,297.35,307.82,1474,28.85,164,No Failure,0
LOG_0000245,MCH_L1_03,2023-01-06 02:00:00,305.03,314.7,1545,29.99,173,No Failure,0
LOG_0000246,MCH_L2_02,2023-01-06 02:30:00,300.34,310.77,1677,50.05,97,No Failure,0
LOG_0000247,MCH_L2_01,2023-01-06 03:00:00,300.44,309.6,1406,37.02,24,No Failure,0
LOG_0000248,MCH_L2_03,2023-01-06 03:30:00,301.59,311.84,1533,45.7,164,No Failure,0
LOG_0000249,MCH_L3_01,2023-01-06 04:00:00,296.15,307.92,1488,38.49,150,No Failure,0
LOG_0000250,MCH_L2_04,2023-01-06 04:30:00,296.52,306.87,1468,38.34,219,No Failure,0
LOG_0000251,MCH_L3_04,2023-01-06 05:00:00,298.89,308.61,1483,39.35,153,Tool Wear,1
LOG_0000252,MCH_L1_05,2023-01-06 05:30:00,297.74,306.61,1657,46.21,75,No Failure,0
LOG_0000253,MCH_L1_01,2023-01-06 06:00:00,299.81,309.91,1569,34.17,119,No Failure,0
LOG_0000254,MCH_L1_03,2023-01-06 06:30:00,301.21,310.95,1442,38.69,179,No Failure,0
LOG_0000255,MCH_L2_05,2023-01-06 07:00:00,303.47,314.14,1577,47.69,230,No Failure,0
LOG_0000256,MCH_L3_02,2023-01-06 07:30:00,302.03,309.84,1432,49.21,2,No Failure,0
